record_id,full_name,registration_no,state,address,valid_upto,source_url,scraped_at
CA/2026/00014,Architect Sample_00014,CA/2026/00014,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00014,2026-09-25 20:36:43
CA/2026/00015,Architect Sample_00015,CA/2026/00015,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00015,2026-09-25 20:36:44
CA/2026/00016,Architect Sample_00016,CA/2026/00016,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00016,2026-09-25 20:36:45
CA/2026/00017,Architect Sample_00017,CA/2026/00017,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00017,2026-09-25 20:38:14
CA/2026/00018,Architect Sample_00018,CA/2026/00018,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00018,2026-09-25 20:37:44
CA/2026/00019,Architect Sample_00019,CA/2026/00019,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00019,2026-09-25 20:38:16
CA/2026/00020,Architect Sample_00020,CA/2026/00020,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00020,2026-09-25 20:37:46
CA/2026/00021,Architect Sample_00021,CA/2026/00021,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00021,2026-09-25 20:37:47
CA/2026/00022,Architect Sample_00022,CA/2026/00022,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00022,2026-09-25 20:38:17
CA/2026/00023,Architect Sample_00023,CA/2026/00023,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00023,2026-09-25 20:37:49
CA/2026/00024,Architect Sample_00024,CA/2026/00024,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00024,2026-09-25 20:37:50
CA/2026/00025,Architect Sample_00025,CA/2026/00025,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00025,2026-09-25 20:37:51
CA/2026/00026,Architect Sample_00026,CA/2026/00026,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00026,2026-09-25 20:37:52
CA/2026/00027,Architect Sample_00027,CA/2026/00027,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00027,2026-09-25 20:37:53
CA/2026/00028,Architect Sample_00028,CA/2026/00028,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00028,2026-09-25 20:37:54
CA/2026/00029,Architect Sample_00029,CA/2026/00029,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00029,2026-09-25 20:37:55
CA/2026/00030,Architect Sample_00030,CA/2026/00030,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00030,2026-09-25 20:37:56
CA/2026/00031,Architect Sample_00031,CA/2026/00031,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00031,2026-09-25 20:37:57
CA/2026/00032,Architect Sample_00032,CA/2026/00032,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00032,2026-09-25 20:37:58
CA/2026/00033,Architect Sample_00033,CA/2026/00033,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00033,2026-09-25 20:38:00
CA/2026/00034,Architect Sample_00034,CA/2026/00034,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00034,2026-09-25 20:38:01
CA/2026/00035,Architect Sample_00035,CA/2026/00035,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00035,2026-09-25 20:38:02
CA/2026/00036,Architect Sample_00036,CA/2026/00036,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00036,2026-09-25 20:38:03
CA/2026/00037,Architect Sample_00037,CA/2026/00037,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00037,2026-09-25 20:38:04
CA/2026/00038,Architect Sample_00038,CA/2026/00038,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00038,2026-09-25 20:38:05
CA/2026/00039,Architect Sample_00039,CA/2026/00039,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00039,2026-09-25 20:38:07
CA/2026/00040,Architect Sample_00040,CA/2026/00040,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00040,2026-09-25 20:38:07
CA/2026/00041,Architect Sample_00041,CA/2026/00041,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00041,2026-09-25 20:38:08
CA/2026/00042,Architect Sample_00042,CA/2026/00042,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00042,2026-09-25 20:38:10
CA/2026/00043,Architect Sample_00043,CA/2026/00043,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00043,2026-09-25 20:38:10
CA/2026/00044,Architect Sample_00044,CA/2026/00044,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00044,2026-09-25 20:38:11
CA/2026/00045,Architect Sample_00045,CA/2026/00045,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00045,2026-09-25 20:38:13
CA/2026/00046,Architect Sample_00046,CA/2026/00046,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00046,2026-09-25 20:38:15
CA/2026/00047,Architect Sample_00047,CA/2026/00047,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00047,2026-09-25 20:37:43
CA/2026/00048,Architect Sample_00048,CA/2026/00048,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00048,2026-09-25 20:37:41
CA/2026/00049,Architect Sample_00049,CA/2026/00049,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00049,2026-09-25 20:37:40
CA/2026/00050,Architect Sample_00050,CA/2026/00050,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00050,2026-09-25 20:37:39
CA/2026/00051,Architect Sample_00051,CA/2026/00051,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00051,2026-09-25 20:37:38
CA/2026/00052,Architect Sample_00052,CA/2026/00052,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00052,2026-09-25 20:37:37
CA/2026/00053,Architect Sample_00053,CA/2026/00053,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00053,2026-09-25 20:37:36
CA/2026/00054,Architect Sample_00054,CA/2026/00054,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00054,2026-09-25 20:37:34
CA/2026/00055,Architect Sample_00055,CA/2026/00055,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00055,2026-09-25 20:37:33
CA/2026/00056,Architect Sample_00056,CA/2026/00056,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00056,2026-09-25 20:37:32
CA/2026/00057,Architect Sample_00057,CA/2026/00057,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00057,2026-09-25 20:37:32
CA/2026/00058,Architect Sample_00058,CA/2026/00058,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00058,2026-09-25 20:37:30
CA/2026/00059,Architect Sample_00059,CA/2026/00059,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00059,2026-09-25 20:37:30
CA/2026/00060,Architect Sample_00060,CA/2026/00060,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00060,2026-09-25 20:37:29
CA/2026/00061,Architect Sample_00061,CA/2026/00061,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00061,2026-09-25 20:37:28
CA/2026/00062,Architect Sample_00062,CA/2026/00062,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00062,2026-09-25 20:37:27
CA/2026/00063,Architect Sample_00063,CA/2026/00063,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00063,2026-09-25 20:37:25
CA/2026/00064,Architect Sample_00064,CA/2026/00064,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00064,2026-09-25 20:37:24
CA/2026/00065,Architect Sample_00065,CA/2026/00065,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00065,2026-09-25 20:37:23
CA/2026/00066,Architect Sample_00066,CA/2026/00066,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00066,2026-09-25 20:37:22
CA/2026/00067,Architect Sample_00067,CA/2026/00067,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00067,2026-09-25 20:37:21
CA/2026/00068,Architect Sample_00068,CA/2026/00068,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00068,2026-09-25 20:37:21
CA/2026/00069,Architect Sample_00069,CA/2026/00069,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00069,2026-09-25 20:37:20
CA/2026/00070,Architect Sample_00070,CA/2026/00070,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00070,2026-09-25 20:37:18
CA/2026/00071,Architect Sample_00071,CA/2026/00071,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00071,2026-09-25 20:37:18
CA/2026/00072,Architect Sample_00072,CA/2026/00072,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00072,2026-09-25 20:37:17
CA/2026/00073,Architect Sample_00073,CA/2026/00073,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00073,2026-09-25 20:37:15
CA/2026/00074,Architect Sample_00074,CA/2026/00074,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00074,2026-09-25 20:37:14
CA/2026/00075,Architect Sample_00075,CA/2026/00075,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00075,2026-09-25 20:37:13
CA/2026/00076,Architect Sample_00076,CA/2026/00076,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00076,2026-09-25 20:37:13
CA/2026/00077,Architect Sample_00077,CA/2026/00077,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00077,2026-09-25 20:37:12
CA/2026/00078,Architect Sample_00078,CA/2026/00078,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00078,2026-09-25 20:37:10
CA/2026/00079,Architect Sample_00079,CA/2026/00079,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00079,2026-09-25 20:37:09
CA/2026/00080,Architect Sample_00080,CA/2026/00080,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00080,2026-09-25 20:37:08
CA/2026/00081,Architect Sample_00081,CA/2026/00081,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00081,2026-09-25 20:37:08
CA/2026/00082,Architect Sample_00082,CA/2026/00082,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00082,2026-09-25 20:37:06
CA/2026/00083,Architect Sample_00083,CA/2026/00083,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00083,2026-09-25 20:37:05
CA/2026/00084,Architect Sample_00084,CA/2026/00084,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00084,2026-09-25 20:37:04
CA/2026/00085,Architect Sample_00085,CA/2026/00085,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00085,2026-09-25 20:37:03
CA/2026/00086,Architect Sample_00086,CA/2026/00086,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00086,2026-09-25 20:37:02
CA/2026/00087,Architect Sample_00087,CA/2026/00087,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00087,2026-09-25 20:37:01
CA/2026/00088,Architect Sample_00088,CA/2026/00088,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00088,2026-09-25 20:37:00
CA/2026/00089,Architect Sample_00089,CA/2026/00089,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00089,2026-09-25 20:36:59
CA/2026/00090,Architect Sample_00090,CA/2026/00090,Maharashtra,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00090,2026-09-25 20:36:57
CA/2026/00091,Architect Sample_00091,CA/2026/00091,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00091,2026-09-25 20:36:56
CA/2026/00092,Architect Sample_00092,CA/2026/00092,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00092,2026-09-25 20:36:56
CA/2026/00093,Architect Sample_00093,CA/2026/00093,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00093,2026-09-25 20:36:54
CA/2026/00094,Architect Sample_00094,CA/2026/00094,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00094,2026-09-25 20:36:53
CA/2026/00095,Architect Sample_00095,CA/2026/00095,Tamil Nadu,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00095,2026-09-25 20:36:52
CA/2026/00096,Architect Sample_00096,CA/2026/00096,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00096,2026-09-25 20:36:51
CA/2026/00097,Architect Sample_00097,CA/2026/00097,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00097,2026-09-25 20:36:50
CA/2026/00098,Architect Sample_00098,CA/2026/00098,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00098,2026-09-25 20:36:49
CA/2026/00099,Architect Sample_00099,CA/2026/00099,Karnataka,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00099,2026-09-25 20:36:48
CA/2026/00100,Architect Sample_00100,CA/2026/00100,Delhi,"Sample Street, Suite 101",2030-12-31,https://example.com/view?id=CA/2026/00100,2026-09-25 20:36:46
